"Trade 	"	"Entry Date	"	"Buy Price	"	"Sell Price	"	"Exit Date	"	"P/L per token	"	"P/L %	"	"Drawdown %	"
1	2022-07-03 21:47	$1,055.81	$1,064.89	2022-07-04 4:45	$9.08	0.86%	1.06%
2	2022-07-03 21:48	$1,056.38	$1,064.89	2022-07-04 4:45	$8.51	0.81%	1.12%
3	2022-07-03 21:49	$1,055.53	$1,064.89	2022-07-04 4:45	$9.36	0.89%	1.04%
4	2022-07-03 22:01	$1,049.16	$1,064.89	2022-07-04 4:45	$15.73	1.50%	0.44%
5	2022-07-04 8:36	$1,095.82	$1,111.44	2022-07-04 10:05	$15.62	1.43%	1.12%
6	2022-07-04 8:37	$1,094.24	$1,111.44	2022-07-04 10:05	$17.20	1.57%	0.98%
7	2022-07-04 23:19	$1,142.70	$1,159.86	2022-07-05 0:21	$17.16	1.50%	0.08%
8	2022-07-05 3:07	$1,147.71	$1,094.92	2022-07-05 7:57	-$52.79	-4.60%	4.67%
9	2022-07-05 18:14	$1,140.74	$1,157.85	2022-07-06 13:39	$17.11	1.50%	2.64%
10	2022-07-06 14:49	$1,151.71	$1,167.89	2022-07-06 17:04	$16.18	1.40%	0.39%
11	2022-07-06 14:51	$1,151.28	$1,167.89	2022-07-06 17:04	$16.61	1.44%	0.35%
12	2022-07-06 14:52	$1,148.87	$1,167.89	2022-07-06 17:04	$19.02	1.66%	0.14%
13	2022-07-07 15:05	$1,240.04	$1,256.69	2022-07-07 20:27	$16.65	1.34%	1.28%
14	2022-07-07 15:06	$1,237.55	$1,256.69	2022-07-07 20:27	$19.14	1.55%	1.08%
15	2022-07-07 15:07	$1,238.85	$1,256.69	2022-07-07 20:27	$17.84	1.44%	1.18%
16	2022-07-07 15:09	$1,235.97	$1,256.69	2022-07-07 20:27	$20.72	1.68%	0.95%
17	2022-07-07 23:34	$1,254.10	$1,186.55	2022-07-09 21:30	-$67.55	-5.39%	5.46%
18	2022-07-08 0:54	$1,241.68	$1,186.55	2022-07-09 21:30	-$55.13	-4.44%	4.51%
19	2022-07-08 0:55	$1,242.88	$1,186.55	2022-07-09 21:30	-$56.33	-4.53%	4.61%
20	2022-07-08 2:11	$1,236.43	$1,186.55	2022-07-09 21:30	-$49.88	-4.03%	4.11%
21	2022-07-10 17:05	$1,166.98	$1,108.72	2022-07-11 17:11	-$58.26	-4.99%	5.07%
22	2022-07-10 17:06	$1,165.80	$1,108.72	2022-07-11 17:11	-$57.08	-4.90%	4.97%
23	2022-07-10 17:07	$1,164.41	$1,108.72	2022-07-11 17:11	-$55.69	-4.78%	4.86%
24	2022-07-10 20:24	$1,151.55	$1,108.72	2022-07-11 17:11	-$42.83	-3.72%	3.79%
25	2022-07-12 12:27	$1,073.33	$1,073.36	2022-07-13 3:34	$0.03	0.00%	3.79%
26	2022-07-12 14:04	$1,057.56	$1,073.36	2022-07-13 3:34	$15.80	1.49%	2.35%
27	2022-07-12 14:05	$1,056.57	$1,073.36	2022-07-13 3:34	$16.79	1.59%	2.26%
28	2022-07-12 14:21	$1,042.54	$1,073.36	2022-07-13 3:34	$30.82	2.96%	0.95%
29	2022-07-14 21:51	$1,197.35	$1,213.98	2022-07-15 2:24	$16.63	1.39%	0.71%
30	2022-07-14 21:52	$1,197.24	$1,213.98	2022-07-15 2:24	$16.74	1.40%	0.70%
31	2022-07-14 21:56	$1,193.52	$1,213.98	2022-07-15 2:24	$20.46	1.71%	0.39%
32	2022-07-15 4:43	$1,219.46	$1,233.61	2022-07-15 12:15	$14.15	1.16%	1.37%
33	2022-07-15 11:19	$1,216.81	$1,233.61	2022-07-15 12:15	$16.80	1.38%	1.15%
34	2022-07-15 11:20	$1,214.41	$1,233.61	2022-07-15 12:15	$19.20	1.58%	0.96%
35	2022-07-15 11:21	$1,210.79	$1,233.61	2022-07-15 12:15	$22.82	1.88%	0.66%
36	2022-07-16 0:43	$1,213.80	$1,229.83	2022-07-16 8:18	$16.03	1.32%	1.93%
37	2022-07-16 0:44	$1,209.60	$1,229.83	2022-07-16 8:18	$20.23	1.67%	1.59%
38	2022-07-16 0:45	$1,211.07	$1,229.83	2022-07-16 8:18	$18.76	1.55%	1.71%
39	2022-07-16 0:46	$1,212.13	$1,229.83	2022-07-16 8:18	$17.70	1.46%	1.80%
40	2022-07-16 13:02	$1,327.88	$1,347.57	2022-07-16 14:12	$19.69	1.48%	0.33%
41	2022-07-16 13:03	$1,327.44	$1,347.57	2022-07-16 14:12	$20.13	1.52%	0.18%
42	2022-07-16 20:18	$1,344.10	$1,359.52	2022-07-16 22:27	$15.42	1.15%	1.26%
43	2022-07-16 20:19	$1,338.89	$1,359.52	2022-07-16 22:27	$20.63	1.54%	0.88%
44	2022-07-16 20:20	$1,335.29	$1,359.52	2022-07-16 22:27	$24.23	1.81%	0.61%
45	2022-07-16 23:34	$1,348.16	$1,368.01	2022-07-17 1:40	$19.85	1.47%	0.15%
46	2022-07-16 23:35	$1,347.42	$1,368.01	2022-07-17 1:40	$20.59	1.53%	0.10%
47	2022-07-18 5:06	$1,472.85	$1,497.21	2022-07-18 5:28	$24.36	1.65%	0.10%
48	2022-07-18 5:07	$1,475.07	$1,497.21	2022-07-18 5:28	$22.14	1.50%	0.17%
49	2022-07-18 22:48	$1,523.72	$1,541.80	2022-07-19 0:38	$18.08	1.19%	2.08%
50	2022-07-18 22:49	$1,522.43	$1,541.80	2022-07-19 0:38	$19.37	1.27%	2.00%
51	2022-07-18 22:50	$1,517.41	$1,541.80	2022-07-19 0:38	$24.39	1.61%	1.68%
52	2022-07-18 22:52	$1,512.48	$1,541.80	2022-07-19 0:38	$29.32	1.94%	1.36%
53	2022-07-19 1:47	$1,512.35	$1,534.22	2022-07-19 3:56	$21.87	1.45%	0.96%
54	2022-07-19 1:48	$1,512.80	$1,534.22	2022-07-19 3:56	$21.42	1.42%	0.99%
55	2022-07-19 1:49	$1,509.48	$1,534.22	2022-07-19 3:56	$24.74	1.64%	0.77%
56	2022-07-19 18:40	$1,535.35	$1,553.41	2022-07-19 22:25	$18.06	1.18%	1.70%
57	2022-07-19 18:41	$1,529.50	$1,553.41	2022-07-19 22:25	$23.91	1.56%	1.32%
58	2022-07-19 18:42	$1,527.67	$1,553.41	2022-07-19 22:25	$25.74	1.68%	1.20%
59	2022-07-19 18:43	$1,529.28	$1,553.41	2022-07-19 22:25	$24.13	1.58%	1.30%
60	2022-07-20 15:09	$1,523.12	$1,541.86	2022-07-20 16:43	$18.74	1.23%	2.63%
61	2022-07-20 15:10	$1,517.23	$1,541.86	2022-07-20 16:43	$24.63	1.62%	2.25%
62	2022-07-20 15:11	$1,520.72	$1,541.86	2022-07-20 16:43	$21.14	1.39%	2.47%
63	2022-07-20 15:12	$1,515.29	$1,541.86	2022-07-20 16:43	$26.57	1.75%	2.12%
64	2022-07-21 6:04	$1,494.29	$1,516.71	2022-07-21 11:02	$22.42	1.50%	1.23%
65	2022-07-21 21:15	$1,563.02	$1,586.47	2022-07-22 0:57	$23.45	1.50%	0.71%
66	7/22/2022 14:34:00	$1,548.38	$1,571.51	7/22/2022 21:30:00	$23.13	1.49%	2.16%
67	7/22/2022 14:35:00	$1,548.17	$1,571.51	7/22/2022 21:30:00	$23.34	1.51%	2.15%
68	7/23/2022 3:50:00	$1,567.99	$1,571.44	7/23/2022 19:03:00	$3.45	0.22%	5.18%
69	7/23/2022 3:52:00	$1,561.49	$1,571.44	7/23/2022 19:03:00	$9.95	0.64%	4.78%
70	7/23/2022 5:38:00	$1,547.97	$1,571.44	7/23/2022 19:03:00	$23.47	1.52%	3.95%
71	7/23/2022 16:59:00	$1,515.41	$1,571.44	7/23/2022 19:03:00	$56.03	3.70%	0.08%
72	7/23/2022 20:15:00	$1,560.71	$1,584.13	7/24/2022 0:15:00	$23.42	1.50%	1.04%
73	7/24/2022 2:57:00	$1,604.68	$1,614.75	7/24/2022 6:13:00	$10.07	0.63%	1.61%
74	7/24/2022 5:37:00	$1,585.90	$1,614.75	7/24/2022 6:13:00	$28.85	1.82%	0.45%
75	7/24/2022 5:38:00	$1,585.33	$1,614.75	7/24/2022 6:13:00	$29.42	1.86%	0.41%
76	7/24/2022 5:39:00	$1,587.58	$1,614.75	7/24/2022 6:13:00	$27.17	1.71%	0.55%
77	7/24/2022 13:34:00	$1,596.09	$1,618.60	7/24/2022 15:43:00	$22.51	1.41%	0.41%
78	7/24/2022 13:35:00	$1,597.00	$1,618.60	7/24/2022 15:43:00	$21.60	1.35%	0.47%
79	7/24/2022 13:36:00	$1,593.63	$1,618.60	7/24/2022 15:43:00	$24.97	1.57%	0.26%
80	7/24/2022 13:37:00	$1,592.00	$1,618.60	7/24/2022 15:43:00	$26.60	1.67%	0.16%
81	7/24/2022 19:30:00	$1,567.63	$1,493.32	7/25/2022 14:07:00	-$74.31	-4.74%	4.82%
82	7/24/2022 19:32:00	$1,563.01	$1,493.32	7/25/2022 14:07:00	-$69.69	-4.46%	4.53%
83	7/25/2022 14:09:00	$1,487.48	$1,505.12	7/25/2022 15:02:00	$17.64	1.19%	2.25%
84	7/25/2022 14:10:00	$1,478.26	$1,505.12	7/25/2022 15:02:00	$26.86	1.82%	1.64%
85	7/25/2022 17:27:00	$1,472.82	$1,492.98	7/25/2022 17:45:00	$20.16	1.37%	0.46%
86	7/25/2022 17:28:00	$1,469.00	$1,492.98	7/25/2022 17:45:00	$23.98	1.63%	0.21%
87	7/26/2022 13:40:00	$1,367.70	$1,388.21	7/26/2022 16:05:00	$20.51	1.50%	0.92%
88	7/27/2022 8:11:00	$1,472.67	$1,495.18	7/27/2022 8:54:00	$22.51	1.53%	0.46%
89	7/27/2022 8:12:00	$1,473.50	$1,495.18	7/27/2022 8:54:00	$21.68	1.47%	0.52%
90	7/28/2022 19:19:00	$1,705.44	$1,725.44	7/28/2022 19:39:00	$20.00	1.17%	0.63%
91	7/28/2022 19:20:00	$1,698.73	$1,725.44	7/28/2022 19:39:00	$26.71	1.57%	0.21%
92	7/28/2022 19:21:00	$1,698.56	$1,725.44	7/28/2022 19:39:00	$26.88	1.58%	0.18%
93	7/28/2022 19:22:00	$1,697.03	$1,725.44	7/28/2022 19:39:00	$28.41	1.67%	0.08%
94	7/29/2022 3:10:00	$1,701.07	$1,723.78	7/29/2022 3:44:00	$22.71	1.34%	0.57%
95	7/29/2022 3:11:00	$1,695.83	$1,723.78	7/29/2022 3:44:00	$27.95	1.65%	0.08%
96	7/29/2022 3:12:00	$1,698.00	$1,723.78	7/29/2022 3:44:00	$25.78	1.52%	0.09%
97	7/29/2022 16:38:00	$1,709.52	$1,735.17	7/29/2022 17:39:00	$25.65	1.50%	0.46%
98	7/29/2022 18:55:00	$1,720.28	$1,729.60	7/30/2022 8:04:00	$9.32	0.54%	2.52%
99	7/29/2022 20:49:00	$1,704.02	$1,729.60	7/30/2022 8:04:00	$25.58	1.50%	1.59%
100	7/29/2022 20:50:00	$1,696.05	$1,729.60	7/30/2022 8:04:00	$33.55	1.98%	1.12%
101	7/29/2022 20:51:00	$1,695.76	$1,729.60	7/30/2022 8:04:00	$33.84	2.00%	1.11%
102	7/30/2022 14:43:00	$1,700.79	$1,714.82	7/31/2022 5:58:00	$14.03	0.82%	1.71%
103	7/30/2022 16:58:00	$1,690.29	$1,714.82	7/31/2022 5:58:00	$24.53	1.45%	1.10%
104	7/30/2022 18:21:00	$1,685.06	$1,714.82	7/31/2022 5:58:00	$29.76	1.77%	0.34%
105	7/30/2022 18:22:00	$1,681.75	$1,714.82	7/31/2022 5:58:00	$33.07	1.97%	0.08%
106	7/31/2022 14:54:00	$1,721.39	$1,641.35	8/1/2022 6:09:00	-$80.04	-4.65%	4.72%
107	7/31/2022 14:55:00	$1,719.62	$1,641.35	8/1/2022 6:09:00	-$78.27	-4.55%	4.63%
108	8/1/2022 12:22:00	$1,632.41	$1,656.91	8/1/2022 19:16:00	$24.50	1.50%	1.69%
109	8/1/2022 21:33:00	$1,593.99	$1,610.29	8/2/2022 9:29:00	$16.30	1.02%	2.25%
110	8/1/2022 21:34:00	$1,586.59	$1,610.29	8/2/2022 9:29:00	$23.70	1.49%	1.80%
111	8/2/2022 2:05:00	$1,578.92	$1,610.29	8/2/2022 9:29:00	$31.37	1.99%	1.32%
112	8/2/2022 14:01:00	$1,635.26	$1,656.89	8/2/2022 16:50:00	$21.63	1.32%	0.88%
113	8/2/2022 14:02:00	$1,632.46	$1,656.89	8/2/2022 16:50:00	$24.43	1.50%	0.71%
114	8/2/2022 14:03:00	$1,632.22	$1,656.89	8/2/2022 16:50:00	$24.67	1.51%	0.70%
115	8/2/2022 14:04:00	$1,629.66	$1,656.89	8/2/2022 16:50:00	$27.23	1.67%	0.54%
116	8/3/2022 15:35:00	$1,632.88	$1,657.38	8/3/2022 20:38:00	$24.50	1.50%	1.63%
117	8/4/2022 11:50:00	$1,591.52	$1,611.84	8/4/2022 13:31:00	$20.32	1.28%	0.77%
118	8/4/2022 11:52:00	$1,590.33	$1,611.84	8/4/2022 13:31:00	$21.51	1.35%	0.70%
119	8/4/2022 11:53:00	$1,586.39	$1,611.84	8/4/2022 13:31:00	$25.45	1.60%	0.45%
120	8/4/2022 11:54:00	$1,583.81	$1,611.84	8/4/2022 13:31:00	$28.03	1.77%	0.29%
121	8/4/2022 14:39:00	$1,590.90	$1,614.00	8/4/2022 19:06:00	$23.10	1.45%	0.69%
122	8/4/2022 14:40:00	$1,589.21	$1,614.00	8/4/2022 19:06:00	$24.79	1.56%	0.59%
123	8/4/2022 14:41:00	$1,590.31	$1,614.00	8/4/2022 19:06:00	$23.69	1.49%	0.65%
124	8/5/2022 1:42:00	$1,662.68	$1,687.62	8/5/2022 6:18:00	$24.94	1.50%	0.71%
125	8/6/2022 3:35:00	$1,709.22	$1,723.63	8/7/2022 15:25:00	$14.41	0.84%	2.49%
126	8/6/2022 18:21:00	$1,698.59	$1,723.63	8/7/2022 15:25:00	$25.04	1.47%	1.88%
127	8/6/2022 18:22:00	$1,692.09	$1,723.63	8/7/2022 15:25:00	$31.54	1.86%	1.50%
128	8/6/2022 18:23:00	$1,692.71	$1,723.63	8/7/2022 15:25:00	$30.92	1.83%	1.53%
129	8/7/2022 18:03:00	$1,695.07	$1,720.30	8/8/2022 0:23:00	$25.23	1.49%	0.37%
130	8/7/2022 18:04:00	$1,694.66	$1,720.30	8/8/2022 0:23:00	$25.64	1.51%	0.35%
131	8/8/2022 2:45:00	$1,731.37	$1,757.35	8/8/2022 3:46:00	$25.98	1.50%	0.25%
132	8/8/2022 16:16:00	$1,776.34	$1,690.97	8/9/2022 8:56:00	-$85.37	-4.81%	4.88%
133	8/8/2022 16:17:00	$1,774.26	$1,690.97	8/9/2022 8:56:00	-$83.29	-4.69%	4.77%
134	8/8/2022 16:18:00	$1,768.84	$1,690.97	8/9/2022 8:56:00	-$77.87	-4.40%	4.48%
135	8/8/2022 16:19:00	$1,770.61	$1,690.97	8/9/2022 8:56:00	-$79.64	-4.50%	4.57%
136	8/9/2022 19:38:00	$1,678.42	$1,698.19	8/10/2022 3:50:00	$19.77	1.18%	1.36%
137	8/9/2022 19:39:00	$1,674.64	$1,698.19	8/10/2022 3:50:00	$23.55	1.41%	1.14%
138	8/9/2022 19:40:00	$1,675.30	$1,698.19	8/10/2022 3:50:00	$22.89	1.37%	1.18%
139	8/9/2022 19:41:00	$1,664.01	$1,698.19	8/10/2022 3:50:00	$34.18	2.05%	0.51%
140	8/10/2022 11:41:00	$1,829.32	$1,855.81	8/10/2022 16:28:00	$26.49	1.45%	1.45%
141	8/10/2022 11:42:00	$1,828.38	$1,855.81	8/10/2022 16:28:00	$27.43	1.50%	1.40%
142	8/10/2022 11:43:00	$1,827.44	$1,855.81	8/10/2022 16:28:00	$28.37	1.55%	1.35%
143	8/10/2022 21:17:00	$1,870.75	$1,898.82	8/11/2022 0:11:00	$28.07	1.50%	0.43%
144	8/11/2022 13:17:00	$1,878.16	$1,905.91	8/11/2022 21:52:00	$27.75	1.48%	1.17%
145	8/11/2022 13:18:00	$1,876.51	$1,905.91	8/11/2022 21:52:00	$29.40	1.57%	1.08%
146	8/11/2022 13:19:00	$1,878.56	$1,905.91	8/11/2022 21:52:00	$27.35	1.46%	1.19%
147	8/12/2022 6:32:00	$1,860.47	$1,885.59	8/12/2022 8:06:00	$25.12	1.35%	0.47%
148	8/12/2022 6:34:00	$1,854.95	$1,885.59	8/12/2022 8:06:00	$30.64	1.65%	0.08%
149	8/12/2022 16:26:00	$1,923.49	$1,952.36	8/12/2022 18:21:00	$28.87	1.50%	0.36%
150	8/13/2022 13:26:00	$1,986.57	$2,005.55	8/14/2022 2:32:00	$18.98	0.96%	1.03%
151	8/13/2022 15:01:00	$1,973.49	$2,005.55	8/14/2022 2:32:00	$32.06	1.62%	0.37%
152	8/13/2022 15:04:00	$1,972.26	$2,005.55	8/14/2022 2:32:00	$33.29	1.69%	0.31%
153	8/13/2022 15:06:00	$1,971.33	$2,005.55	8/14/2022 2:32:00	$34.22	1.74%	0.26%
154	8/14/2022 22:44:00	$1,977.28	$1,886.30	8/15/2022 2:39:00	-$90.98	-4.60%	4.68%
155	8/15/2022 14:35:00	$1,886.98	$1,915.29	8/15/2022 16:23:00	$28.31	1.50%	0.15%
156	8/15/2022 21:43:00	$1,891.56	$1,912.62	8/16/2022 6:17:00	$21.06	1.11%	1.90%
157	8/15/2022 21:44:00	$1,892.15	$1,912.62	8/16/2022 6:17:00	$20.47	1.08%	1.93%
158	8/15/2022 21:45:00	$1,889.57	$1,912.62	8/16/2022 6:17:00	$23.05	1.22%	1.80%
159	8/15/2022 22:11:00	$1,864.09	$1,912.62	8/16/2022 6:17:00	$48.53	2.60%	0.46%
160	8/16/2022 13:34:00	$1,882.39	$1,901.31	8/17/2022 0:06:00	$18.92	1.01%	1.64%
161	8/16/2022 13:35:00	$1,878.57	$1,901.31	8/17/2022 0:06:00	$22.74	1.21%	1.44%
162	8/16/2022 13:36:00	$1,875.24	$1,901.31	8/17/2022 0:06:00	$26.07	1.39%	1.26%
163	8/16/2022 13:37:00	$1,871.34	$1,901.31	8/17/2022 0:06:00	$29.97	1.60%	1.06%
164	8/17/2022 16:25:00	$1,836.69	$1,864.26	8/17/2022 21:07:00	$27.57	1.50%	0.92%
165	8/17/2022 21:30:00	$1,844.85	$1,873.35	8/18/2022 7:23:00	$28.50	1.54%	0.63%
166	8/17/2022 21:31:00	$1,846.48	$1,873.35	8/18/2022 7:23:00	$26.87	1.46%	0.72%
167	8/18/2022 22:12:00	$1,818.06	$1,734.42	8/19/2022 1:38:00	-$83.64	-4.60%	4.68%
168	8/19/2022 1:39:00	$1,726.29	$1,758.94	8/19/2022 1:40:00	$32.65	1.89%	0.11%
169	8/19/2022 13:16:00	$1,692.25	$1,588.13	8/20/2022 13:49:00	-$104.12	-6.15%	6.23%
170	8/19/2022 16:48:00	$1,661.89	$1,588.13	8/20/2022 13:49:00	-$73.76	-4.44%	4.51%
171	8/19/2022 16:57:00	$1,640.01	$1,588.13	8/20/2022 13:49:00	-$51.88	-3.16%	3.24%
172	8/20/2022 15:54:00	$1,543.89	$1,559.91	8/20/2022 16:33:00	$16.02	1.04%	1.38%
173	8/20/2022 15:55:00	$1,530.29	$1,559.91	8/20/2022 16:33:00	$29.62	1.94%	0.51%
174	8/20/2022 15:56:00	$1,536.41	$1,559.91	8/20/2022 16:33:00	$23.50	1.53%	0.90%
175	8/21/2022 17:04:00	$1,607.43	$1,623.99	8/21/2022 17:33:00	$16.56	1.03%	1.74%
176	8/21/2022 17:05:00	$1,604.79	$1,623.99	8/21/2022 17:33:00	$19.20	1.20%	1.58%
177	8/21/2022 17:06:00	$1,594.98	$1,623.99	8/21/2022 17:33:00	$29.01	1.82%	0.98%
178	8/21/2022 17:07:00	$1,592.75	$1,623.99	8/21/2022 17:33:00	$31.24	1.96%	0.84%
179	8/22/2022 13:42:00	$1,551.66	$1,574.94	8/22/2022 15:02:00	$23.28	1.50%	0.23%
180	8/23/2022 0:31:00	$1,586.93	$1,606.73	8/23/2022 3:07:00	$19.80	1.25%	1.54%
181	8/23/2022 0:32:00	$1,584.00	$1,606.73	8/23/2022 3:07:00	$22.73	1.43%	1.35%
182	8/23/2022 0:33:00	$1,581.66	$1,606.73	8/23/2022 3:07:00	$25.07	1.59%	1.21%
183	8/23/2022 0:34:00	$1,579.32	$1,606.73	8/23/2022 3:07:00	$27.41	1.74%	1.06%
184	8/23/2022 4:21:00	$1,593.88	$1,615.42	8/23/2022 4:48:00	$21.54	1.35%	0.44%
185	8/23/2022 4:22:00	$1,591.64	$1,615.42	8/23/2022 4:48:00	$23.78	1.49%	0.30%
186	8/23/2022 4:23:00	$1,589.10	$1,615.42	8/23/2022 4:48:00	$26.32	1.66%	0.08%
187	8/23/2022 19:38:00	$1,635.03	$1,660.11	8/24/2022 7:52:00	$25.08	1.53%	1.92%
188	8/23/2022 19:39:00	$1,636.12	$1,660.11	8/24/2022 7:52:00	$23.99	1.47%	1.98%
189	8/25/2022 10:26:00	$1,691.80	$1,611.11	8/26/2022 10:03:00	-$80.69	-4.77%	4.84%
190	8/25/2022 11:50:00	$1,692.31	$1,611.11	8/26/2022 10:03:00	-$81.20	-4.80%	4.87%
191	8/25/2022 11:52:00	$1,691.69	$1,611.11	8/26/2022 10:03:00	-$80.58	-4.76%	4.84%
192	8/25/2022 19:10:00	$1,679.39	$1,611.11	8/26/2022 10:03:00	-$68.28	-4.07%	4.14%
193	8/27/2022 10:47:00	$1,461.75	$1,477.30	8/27/2022 10:56:00	$15.55	1.06%	1.68%
194	8/28/2022 17:08:00	$1,462.60	$1,430.42	8/28/2022 18:52:00	-$32.18	-2.20%	2.28%
195	8/28/2022 23:28:00	$1,449.87	$1,471.88	8/29/2022 7:26:00	$22.01	1.52%	0.80%
196	8/28/2022 23:29:00	$1,450.43	$1,471.88	8/29/2022 7:26:00	$21.45	1.48%	0.84%
197	8/28/2022 23:30:00	$1,450.06	$1,471.88	8/29/2022 7:26:00	$21.82	1.50%	0.81%
198	8/29/2022 20:36:00	$1,533.91	$1,552.20	8/29/2022 23:17:00	$18.29	1.19%	0.75%
199	8/29/2022 20:44:00	$1,524.60	$1,552.20	8/29/2022 23:17:00	$27.60	1.81%	0.13%
200	8/30/2022 11:35:00	$1,520.82	$1,487.07	8/30/2022 11:46:00	-$33.75	-2.22%	2.29%
201	8/30/2022 11:36:00	$1,520.26	$1,487.07	8/30/2022 11:46:00	-$33.19	-2.18%	2.26%
202	8/30/2022 11:46:00	$1,495.90	$1,487.07	8/30/2022 11:46:00	-$8.83	-0.59%	0.67%
203	8/30/2022 16:56:00	$1,530.89	$1,553.83	8/30/2022 19:31:00	$22.94	1.50%	0.99%
204	8/30/2022 16:57:00	$1,530.85	$1,553.83	8/30/2022 19:31:00	$22.98	1.50%	0.98%
205	8/31/2022 0:50:00	$1,600.53	$1,609.37	8/31/2022 7:18:00	$8.84	0.55%	2.61%
206	8/31/2022 3:24:00	$1,570.63	$1,609.37	8/31/2022 7:18:00	$38.74	2.47%	0.75%
207	8/31/2022 19:41:00	$1,542.80	$1,565.96	8/31/2022 21:05:00	$23.16	1.50%	0.65%
208	8/31/2022 21:43:00	$1,559.94	$1,581.72	9/1/2022 6:38:00	$21.78	1.40%	1.93%
209	8/31/2022 21:46:00	$1,558.80	$1,581.72	9/1/2022 6:38:00	$22.92	1.47%	1.85%
210	8/31/2022 21:47:00	$1,559.07	$1,581.72	9/1/2022 6:38:00	$22.65	1.45%	1.87%
211	8/31/2022 21:48:00	$1,555.54	$1,581.72	9/1/2022 6:38:00	$26.18	1.68%	1.65%
212	9/2/2022 14:24:00	$1,553.70	$1,577.28	9/2/2022 16:21:00	$23.58	1.52%	0.54%
213	9/2/2022 14:25:00	$1,554.46	$1,577.28	9/2/2022 16:21:00	$22.82	1.47%	0.59%
214	9/2/2022 19:05:00	$1,568.92	$1,585.63	9/4/2022 19:03:00	$16.71	1.07%	2.28%
215	9/2/2022 19:06:00	$1,566.91	$1,585.63	9/4/2022 19:03:00	$18.72	1.19%	2.16%
216	9/2/2022 22:14:00	$1,556.71	$1,585.63	9/4/2022 19:03:00	$28.92	1.86%	1.52%
217	9/2/2022 22:15:00	$1,556.27	$1,585.63	9/4/2022 19:03:00	$29.36	1.89%	1.49%
218	9/4/2022 23:40:00	$1,572.67	$1,596.27	9/5/2022 10:02:00	$23.60	1.50%	1.10%
219	9/5/2022 21:02:00	$1,635.43	$1,657.50	9/6/2022 0:38:00	$22.07	1.35%	0.76%
220	9/5/2022 21:03:00	$1,637.47	$1,657.50	9/6/2022 0:38:00	$20.03	1.22%	0.88%
221	9/5/2022 22:16:00	$1,629.32	$1,657.50	9/6/2022 0:38:00	$28.18	1.73%	0.17%
222	9/6/2022 19:20:00	$1,538.29	$1,500.17	9/6/2022 21:24:00	-$38.12	-2.48%	2.55%
223	9/6/2022 19:21:00	$1,536.37	$1,500.17	9/6/2022 21:24:00	-$36.20	-2.36%	2.43%
224	9/6/2022 19:22:00	$1,531.39	$1,500.17	9/6/2022 21:24:00	-$31.22	-2.04%	2.11%
225	9/6/2022 19:23:00	$1,529.64	$1,500.17	9/6/2022 21:24:00	-$29.47	-1.93%	2.00%
226	9/7/2022 20:42:00	$1,616.97	$1,640.90	9/7/2022 23:24:00	$23.93	1.48%	0.21%
227	9/7/2022 20:43:00	$1,616.32	$1,640.90	9/7/2022 23:24:00	$24.58	1.52%	0.13%
228	9/8/2022 2:22:00	$1,609.89	$1,625.60	9/8/2022 5:11:00	$15.71	0.98%	1.00%
229	9/8/2022 2:23:00	$1,606.56	$1,625.60	9/8/2022 5:11:00	$19.04	1.19%	0.79%
230	9/8/2022 2:24:00	$1,600.18	$1,625.60	9/8/2022 5:11:00	$25.42	1.59%	0.39%
231	9/8/2022 2:25:00	$1,598.39	$1,625.60	9/8/2022 5:11:00	$27.21	1.70%	0.28%
232	9/8/2022 11:07:00	$1,615.54	$1,634.75	9/8/2022 14:56:00	$19.21	1.19%	0.48%
233	9/8/2022 16:14:00	$1,637.75	$1,659.15	9/8/2022 22:33:00	$21.40	1.31%	0.77%
234	9/8/2022 16:15:00	$1,637.80	$1,659.15	9/8/2022 22:33:00	$21.35	1.30%	0.78%
235	9/8/2022 20:35:00	$1,637.05	$1,659.15	9/8/2022 22:33:00	$22.10	1.35%	0.38%
236	9/8/2022 20:36:00	$1,634.51	$1,659.15	9/8/2022 22:33:00	$24.64	1.51%	0.23%
